"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","Status"
"reflex-kitten-chicken","Reflex Plus Kitten — Chicken","<p>Our #1 seller. High-protein chicken recipe built for growing kittens — hypoallergenic, gentle on tummies, and irresistible from the very first bowl.</p><h4>Why cats love it</h4><ul><li>Real chicken protein is the #1 ingredient</li><li>37% protein for healthy growth</li><li>Hypoallergenic — no artificial colours or flavours</li><li>Prebiotics (MOS) &amp; yucca for easy digestion</li><li>Taurine &amp; full vitamin/mineral blend</li></ul><h4>Ingredients</h4><p>Processed Chicken Protein (40%), Corn, Rice, Chicken Fat, Corn Gluten, Dried Beet Pulp, Wheat Bran, Liver Aroma, Vitamins and Minerals, Salt, Flax Seed, Brewer's Yeast, Taurine, MOS (Mannan Oligosaccharides), Whey Powder, Yucca Schidigera, Preservatives - Antioxidants.</p><h4>Guaranteed analysis</h4><table><tbody><tr><td>Crude Protein</td><td><strong>37%</strong></td></tr><tr><td>Crude Fat</td><td><strong>20%</strong></td></tr><tr><td>Crude Fibre</td><td><strong>3%</strong></td></tr><tr><td>Crude Ash</td><td><strong>8%</strong></td></tr></tbody></table><h4>Added vitamins &amp; minerals</h4><table><tbody><tr><td>Vitamin A</td><td><strong>18,000 IU/kg</strong></td></tr><tr><td>Vitamin D3</td><td><strong>1,500 IU/kg</strong></td></tr><tr><td>Vitamin E</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Vitamin C</td><td><strong>400 mg/kg</strong></td></tr><tr><td>Vitamin K3</td><td><strong>0.2 mg/kg</strong></td></tr><tr><td>Taurine</td><td><strong>1,500 mg/kg</strong></td></tr><tr><td>Choline</td><td><strong>2,500 mg/kg</strong></td></tr><tr><td>Zinc</td><td><strong>140 mg/kg</strong></td></tr><tr><td>Iron</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Manganese</td><td><strong>50 mg/kg</strong></td></tr><tr><td>Copper</td><td><strong>13 mg/kg</strong></td></tr><tr><td>Iodine</td><td><strong>1.5 mg/kg</strong></td></tr><tr><td>Selenium</td><td><strong>0.3 mg/kg</strong></td></tr></tbody></table><h4>Feeding guide</h4><p>Feed to your cat's weight and activity level, split across two meals, with fresh water always available. See the back of the pack for the exact daily gram chart.</p>","Reflex Plus","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Kitten food","Reflex Plus, Kitten food, Cat Food, Bestseller","TRUE","Size","1.5 kg","reflex-kitten-chicken-15kg","1500","","0","deny","manual","840","990","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/reflex-kitten-chicken.png","1","Reflex Plus Kitten — Chicken","active"
"reflex-kitten-chicken","","","","","","","","Size","8 kg","reflex-kitten-chicken-8kg","8000","","0","deny","manual","3800","4500","TRUE","TRUE","","","",""
"reflex-kitten-chicken","","","","","","","","Size","15 kg","reflex-kitten-chicken-15kg","15000","","0","deny","manual","6100","7200","TRUE","TRUE","","","",""
"reflex-adult-chicken","Reflex Plus Adult — Chicken","<p>The everyday bowl for adult cats. Real chicken, complete and balanced nutrition, and a crunch they come running for — now from a ৳240 trial pack.</p><h4>Why cats love it</h4><ul><li>Real chicken protein is the #1 ingredient</li><li>33% protein, complete &amp; balanced</li><li>Hypoallergenic recipe</li><li>XOS prebiotics &amp; yucca for digestion</li><li>Taurine for a healthy heart</li></ul><h4>Ingredients</h4><p>Processed Chicken Protein (38%), Corn, Chicken Fat, Rice, Hydrolyzed Animal Protein, Beet Pulp, Liver Aroma, Vitamins and Minerals, Flaxseed, Xylo-oligosaccharides (XOS), Brewer's Yeast, Salt, Yucca Schidigera, Taurine, Preservatives - Antioxidants.</p><h4>Guaranteed analysis</h4><table><tbody><tr><td>Crude Protein</td><td><strong>33%</strong></td></tr><tr><td>Crude Fat</td><td><strong>14%</strong></td></tr><tr><td>Crude Fibre</td><td><strong>2%</strong></td></tr><tr><td>Crude Ash</td><td><strong>8%</strong></td></tr></tbody></table><h4>Added vitamins &amp; minerals</h4><table><tbody><tr><td>Vitamin A</td><td><strong>18,000 IU/kg</strong></td></tr><tr><td>Vitamin D3</td><td><strong>1,500 IU/kg</strong></td></tr><tr><td>Vitamin E</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Vitamin C</td><td><strong>400 mg/kg</strong></td></tr><tr><td>Taurine</td><td><strong>1,500 mg/kg</strong></td></tr></tbody></table><h4>Feeding guide</h4><p>Feed to your cat's weight and activity level, split across two meals, with fresh water always available. See the back of the pack for the exact daily gram chart.</p>","Reflex Plus","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Adult food","Reflex Plus, Adult food, Cat Food, Bestseller","TRUE","Size","400 g","reflex-adult-chicken-400g","400","","0","deny","manual","240","290","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/reflex-adult-chicken.png","1","Reflex Plus Adult — Chicken","active"
"reflex-adult-chicken","","","","","","","","Size","1.5 kg","reflex-adult-chicken-15kg","1500","","0","deny","manual","840","990","TRUE","TRUE","","","",""
"reflex-adult-chicken","","","","","","","","Size","15 kg","reflex-adult-chicken-15kg","15000","","0","deny","manual","6100","7200","TRUE","TRUE","","","",""
"reflex-adult-urinary-chicken","Reflex Plus Adult — Urinary Chicken","<p>Formulated to support a healthy urinary tract with balanced minerals — for cats prone to urinary trouble.</p><h4>Why cats love it</h4><ul><li>Supports urinary-tract health</li><li>34% protein, real chicken</li><li>Balanced minerals</li><li>Flaxseed &amp; XOS for digestion</li><li>Taurine for a healthy heart</li></ul><h4>Ingredients</h4><p>Processed Chicken Protein, Corn, Chicken Fat, Rice, Sugar Beet, Liver Flavor, Vitamins and Minerals, Flaxseed, Xylo-Oligosaccharide, Brewer's Yeast, Salt, Yucca Schidigera, Preservatives - Antioxidants.</p><h4>Guaranteed analysis</h4><table><tbody><tr><td>Crude Protein</td><td><strong>34%</strong></td></tr><tr><td>Crude Fat</td><td><strong>14%</strong></td></tr><tr><td>Crude Fibre</td><td><strong>4%</strong></td></tr><tr><td>Crude Ash</td><td><strong>7%</strong></td></tr></tbody></table><h4>Added vitamins &amp; minerals</h4><table><tbody><tr><td>Vitamin A</td><td><strong>18,000 IU/kg</strong></td></tr><tr><td>Vitamin D3</td><td><strong>1,500 IU/kg</strong></td></tr><tr><td>Vitamin E</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Vitamin C</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Taurine</td><td><strong>1,500 mg/kg</strong></td></tr></tbody></table><h4>Feeding guide</h4><p>Feed to your cat's weight and activity level, split across two meals, with fresh water always available. See the back of the pack for the exact daily gram chart.</p>","Reflex Plus","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Urinary care","Reflex Plus, Urinary care, Cat Food","TRUE","Size","1.5 kg","reflex-adult-urinary-chicken-15kg","1500","","0","deny","manual","840","990","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/reflex-adult-urinary-chicken.png","1","Reflex Plus Adult — Urinary Chicken","active"
"reflex-adult-urinary-chicken","","","","","","","","Size","15 kg","reflex-adult-urinary-chicken-15kg","15000","","0","deny","manual","6100","7200","TRUE","TRUE","","","",""
"reflex-adult-hairball-salmon","Reflex Plus Adult — Hairball Salmon","<p>Made for indoor cats — natural fibres and psyllium help move hairballs through, while real salmon keeps the coat glossy.</p><h4>Why cats love it</h4><ul><li>Sugar-cane fibre &amp; psyllium reduce hairballs</li><li>Real salmon for a glossy coat</li><li>Perfect for indoor cats</li><li>34% protein</li><li>L-carnitine to help manage weight</li></ul><h4>Ingredients</h4><p>Processed Salmon Protein, Processed Animal Protein, Corn, Chicken Fat, Rice, Sugar Cane Fiber, Sugar Beet, Fish Flavor, Vitamins and Minerals, Salmon Oil, Xylo-Oligosaccharide, Brewer's Yeast, Psyllium, Salt, Yucca Schidigera, L-Carnitine, Preservatives - Antioxidants.</p><h4>Guaranteed analysis</h4><table><tbody><tr><td>Crude Protein</td><td><strong>34%</strong></td></tr><tr><td>Crude Fat</td><td><strong>14%</strong></td></tr><tr><td>Crude Fibre</td><td><strong>5%</strong></td></tr><tr><td>Crude Ash</td><td><strong>8%</strong></td></tr></tbody></table><h4>Added vitamins &amp; minerals</h4><table><tbody><tr><td>Vitamin A</td><td><strong>18,000 IU/kg</strong></td></tr><tr><td>Vitamin D3</td><td><strong>1,500 IU/kg</strong></td></tr><tr><td>Vitamin E</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Vitamin C</td><td><strong>400 mg/kg</strong></td></tr><tr><td>Taurine</td><td><strong>1,500 mg/kg</strong></td></tr></tbody></table><h4>Feeding guide</h4><p>By body weight (normal condition), roughly 29–32 g/day for a 2 kg cat up to 96–106 g/day for a 10 kg cat, split across two meals with fresh water always available.</p>","Reflex Plus","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Hairball control","Reflex Plus, Hairball control, Cat Food","TRUE","Size","1.5 kg","reflex-adult-hairball-salmon-15kg","1500","","0","deny","manual","840","990","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/reflex-adult-hairball-salmon.png","1","Reflex Plus Adult — Hairball Salmon","active"
"reflex-adult-hairball-salmon","","","","","","","","Size","15 kg","reflex-adult-hairball-salmon-15kg","15000","","0","deny","manual","6100","7200","TRUE","TRUE","","","",""
"reflex-kitten-salmon","Reflex Plus Kitten — Salmon","<p>A salmon-first kitten recipe for the seafood lovers — hydrolysed salmon and egg for bright eyes and fast, healthy growth.</p><h4>Why cats love it</h4><ul><li>Hydrolysed salmon protein</li><li>36% protein for growing kittens</li><li>Dried egg &amp; salmon oil</li><li>XOS prebiotics for digestion</li><li>Taurine &amp; L-carnitine</li></ul><h4>Ingredients</h4><p>Hydrolysed Salmon Proteins, Chicken Proteins (dehydrated), Corn, Chicken Fat, Rice, Fish Flavor, Processed Lignocellulosic, Dried Sugar Beet Fiber, Vitamins and Minerals, Salmon Oil, Dried Egg Powder, Xylo-oligosaccharides, Brewer's Yeast, Salt, Yucca Schidigera, L-Carnitine, Natural Preservatives - Antioxidants (E320 &amp; E321).</p><h4>Guaranteed analysis</h4><table><tbody><tr><td>Crude Protein</td><td><strong>36%</strong></td></tr><tr><td>Crude Fat</td><td><strong>18%</strong></td></tr><tr><td>Crude Fibre</td><td><strong>2% (min)</strong></td></tr><tr><td>Crude Ash</td><td><strong>7%</strong></td></tr></tbody></table><h4>Added vitamins &amp; minerals</h4><table><tbody><tr><td>Vitamin A</td><td><strong>18,000 IU/kg</strong></td></tr><tr><td>Vitamin D3</td><td><strong>1,500 IU/kg</strong></td></tr><tr><td>Vitamin E</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Vitamin C</td><td><strong>400 mg/kg</strong></td></tr><tr><td>Taurine</td><td><strong>1,500 mg/kg</strong></td></tr></tbody></table><h4>Feeding guide</h4><p>Feed to your cat's weight and activity level, split across two meals, with fresh water always available. See the back of the pack for the exact daily gram chart.</p>","Reflex Plus","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Kitten food","Reflex Plus, Kitten food, Cat Food","TRUE","Size","1.5 kg","reflex-kitten-salmon-15kg","1500","","0","deny","manual","840","990","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/reflex-kitten-salmon.png","1","Reflex Plus Kitten — Salmon","active"
"reflex-mother-baby","Reflex Plus Mother & Baby","<p>Extra-nourishing lamb &amp; rice recipe for pregnant and nursing mums and their newborns — energy-dense and easy to digest.</p><h4>Why cats love it</h4><ul><li>Processed lamb protein</li><li>32% protein &amp; 22% fat, energy-dense</li><li>Whey powder for easy digestion</li><li>L-carnitine &amp; XOS prebiotics</li><li>Supports pregnancy, nursing &amp; weaning</li></ul><h4>Ingredients</h4><p>Processed Lamb Protein (20%), Processed Animal Protein, Hydrolyzed Animal Protein, Corn, Rice, Chicken Fat, Brewer's Yeast, Hydrolyzed Fiber, Whey Powder, Liver Aroma, Xylo-Oligosaccharides, Yucca Schidigera, Salt, L-Carnitine, Vitamins &amp; Minerals, Taurine, Preservatives &amp; Antioxidants.</p><h4>Guaranteed analysis</h4><table><tbody><tr><td>Crude Protein</td><td><strong>32%</strong></td></tr><tr><td>Crude Fat</td><td><strong>22%</strong></td></tr><tr><td>Crude Fibre</td><td><strong>2.5%</strong></td></tr><tr><td>Crude Ash</td><td><strong>8%</strong></td></tr></tbody></table><h4>Added vitamins &amp; minerals</h4><table><tbody><tr><td>Vitamin A</td><td><strong>18,000 IU/kg</strong></td></tr><tr><td>Vitamin D3</td><td><strong>1,500 IU/kg</strong></td></tr><tr><td>Vitamin E</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Vitamin C</td><td><strong>400 mg/kg</strong></td></tr><tr><td>Taurine</td><td><strong>1,500 mg/kg</strong></td></tr></tbody></table><h4>Feeding guide</h4><p>Ideal for queens through pregnancy and nursing, and for weaning kittens. Feed to your cat's weight and activity level, split across two meals, with fresh water always available. See the back of the pack for the exact daily gram chart.</p>","Reflex Plus","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Mother & baby","Reflex Plus, Mother & baby, Cat Food","TRUE","Size","1.5 kg","reflex-mother-baby-15kg","1500","","0","deny","manual","840","990","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/reflex-mother-baby.png","1","Reflex Plus Mother & Baby","active"
"reflex-mother-baby","","","","","","","","Size","8 kg","reflex-mother-baby-8kg","8000","","0","deny","manual","3800","4500","TRUE","TRUE","","","",""
"reflex-sterilized-chicken","Reflex Plus Sterilised — Chicken","<p>Lower-fat chicken recipe made for spayed and neutered cats — keeps weight in check without cutting the flavour.</p><h4>Why cats love it</h4><ul><li>Calorie-conscious: 34% protein, 12% fat</li><li>Real chicken, hypoallergenic</li><li>L-carnitine to help burn fat</li><li>Sugar-cane fibre for fullness</li><li>Taurine for a healthy heart</li></ul><h4>Ingredients</h4><p>Processed Chicken Protein (38%), Corn, Chicken Fat, Rice, Hydrolyzed Animal Protein, Sugar Cane Fibre, Beet Pulp, Liver Flavour, Vitamins and Minerals, Flaxseed, Xylo-oligosaccharides, Brewer's Yeast, Salt, Yucca Schidigera, L-Carnitine, Taurine, Preservatives - Antioxidants.</p><h4>Guaranteed analysis</h4><table><tbody><tr><td>Crude Protein</td><td><strong>34%</strong></td></tr><tr><td>Crude Fat</td><td><strong>12%</strong></td></tr><tr><td>Crude Fibre</td><td><strong>4%</strong></td></tr><tr><td>Crude Ash</td><td><strong>7.5%</strong></td></tr></tbody></table><h4>Added vitamins &amp; minerals</h4><table><tbody><tr><td>Vitamin A</td><td><strong>18,000 IU/kg</strong></td></tr><tr><td>Vitamin D3</td><td><strong>1,500 IU/kg</strong></td></tr><tr><td>Vitamin E</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Vitamin C</td><td><strong>400 mg/kg</strong></td></tr><tr><td>Taurine</td><td><strong>1,500 mg/kg</strong></td></tr></tbody></table><h4>Feeding guide</h4><p>Ideal after spaying/neutering. Feed to your cat's weight and activity level, split across two meals, with fresh water always available. See the back of the pack for the exact daily gram chart.</p>","Reflex Plus","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Sterilised","Reflex Plus, Sterilised, Cat Food","TRUE","Size","1.5 kg","reflex-sterilized-chicken-15kg","1500","","0","deny","manual","840","990","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/reflex-sterilized-chicken.png","1","Reflex Plus Sterilised — Chicken","active"
"reflex-sterilized-chicken","","","","","","","","Size","15 kg","reflex-sterilized-chicken-15kg","15000","","0","deny","manual","6100","7200","TRUE","TRUE","","","",""
"reflex-adult-skincare-salmon","Reflex Plus Adult — Skin & Coat Salmon","<p>A salmon-rich recipe loaded with salmon oil, anchovy oil and krill for cats with sensitive skin — for a coat that actually shines.</p><h4>Why cats love it</h4><ul><li>Salmon oil, anchovy oil &amp; krill</li><li>34% protein for skin &amp; coat</li><li>Aloe vera, cranberry &amp; marigold</li><li>Great for sensitive skin</li><li>Taurine &amp; full vitamin blend</li></ul><h4>Ingredients</h4><p>Processed Salmon Protein (20%), Processed Animal Protein, Corn, Chicken Fat, Rice, Hydrolyzed Animal Protein, Fish Flavor, Salmon Oil, Anchovy Oil, Krill, Vitamins &amp; Minerals, Processed Lignocellulosic, Sugar Beet, Microalgae, Brewer's Yeast, Psyllium, Xylo-Oligosaccharides (XOS), Salt, Yucca Schidigera, DL-Methionine, Arginine, Phenylalanine, Tyrosine, Cranberry, Marigold Extract, Aloe Vera, Taurine, Preservatives &amp; Antioxidants.</p><h4>Guaranteed analysis</h4><table><tbody><tr><td>Crude Protein</td><td><strong>34%</strong></td></tr><tr><td>Crude Fat</td><td><strong>16%</strong></td></tr><tr><td>Crude Fibre</td><td><strong>3%</strong></td></tr><tr><td>Crude Ash</td><td><strong>8%</strong></td></tr></tbody></table><h4>Added vitamins &amp; minerals</h4><table><tbody><tr><td>Vitamin A</td><td><strong>18,000 IU/kg</strong></td></tr><tr><td>Vitamin D3</td><td><strong>1,500 IU/kg</strong></td></tr><tr><td>Vitamin E</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Vitamin C</td><td><strong>400 mg/kg</strong></td></tr><tr><td>Taurine</td><td><strong>1,500 mg/kg</strong></td></tr></tbody></table><h4>Feeding guide</h4><p>Feed to your cat's weight and activity level, split across two meals, with fresh water always available. See the back of the pack for the exact daily gram chart.</p>","Reflex Plus","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Skin & coat","Reflex Plus, Skin & coat, Cat Food","TRUE","Size","1.5 kg","reflex-adult-skincare-salmon-15kg","1500","","0","deny","manual","840","990","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/reflex-adult-skincare-salmon.png","1","Reflex Plus Adult — Skin & Coat Salmon","active"
"reflex-adult-choosy-salmon","Reflex Plus Adult — Choosy Salmon","<p>Built for the pickiest palate. An aroma-boosted salmon recipe that wins over even the fussiest cat — the 'she finally ate it' bag.</p><h4>Why cats love it</h4><ul><li>Dehydrated salmon (min. 27%)</li><li>34% protein, high palatability</li><li>Salmon oil, fish &amp; liver flavour</li><li>XOS prebiotics &amp; yucca</li><li>Taurine for a healthy heart</li></ul><h4>Ingredients</h4><p>Salmon Proteins (dehydrated, min. 27%), Dehydrated Chicken Protein, Rice, Corn, Chicken Fat, Beet Pulp, Fish Flavor, Liver Flavor, Salmon Oil, Vitamins and Minerals, Xylo-oligosaccharides, Brewer's Yeast, Salt, Yucca Schidigera, Antioxidants.</p><h4>Guaranteed analysis</h4><table><tbody><tr><td>Crude Protein</td><td><strong>34% (min)</strong></td></tr><tr><td>Crude Fat</td><td><strong>14% (min)</strong></td></tr><tr><td>Crude Fibre</td><td><strong>4% (max)</strong></td></tr><tr><td>Crude Ash</td><td><strong>7% (max)</strong></td></tr></tbody></table><h4>Added vitamins &amp; minerals</h4><table><tbody><tr><td>Vitamin A</td><td><strong>18,000 IU/kg</strong></td></tr><tr><td>Vitamin D3</td><td><strong>1,500 IU/kg</strong></td></tr><tr><td>Vitamin E</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Vitamin C</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Taurine</td><td><strong>1,500 mg/kg</strong></td></tr></tbody></table><h4>Feeding guide</h4><p>Feed to your cat's weight and activity level, split across two meals, with fresh water always available. See the back of the pack for the exact daily gram chart.</p>","Reflex Plus","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Fussy eaters","Reflex Plus, Fussy eaters, Cat Food","TRUE","Size","1.5 kg","reflex-adult-choosy-salmon-15kg","1500","","0","deny","manual","840","990","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/reflex-adult-choosy-salmon.png","1","Reflex Plus Adult — Choosy Salmon","active"
"prostar-adult-chicken","Prostar Adult — Chicken","<p>Great everyday nutrition at a friendly price. A hearty chicken recipe in a big 15 kg value bag — a smart choice for multi-cat homes.</p><h4>Why cats love it</h4><ul><li>26% protein, real chicken</li><li>With fish oil for omega-3 &amp; 6</li><li>Big 15 kg value bag</li><li>Taurine for heart &amp; eye health</li><li>Brewer's yeast for digestion</li></ul><h4>Ingredients</h4><p>Dried Animal Protein and Chicken Meat (chicken min. 5%), Rice, Corn, Semolina Flour (or Wheat), Chicken Fat, Fish Oil, Brewer's Yeast, Vitamins and Minerals.</p><h4>Guaranteed analysis</h4><table><tbody><tr><td>Crude Protein</td><td><strong>26%</strong></td></tr><tr><td>Crude Fat</td><td><strong>14%</strong></td></tr><tr><td>Crude Fibre</td><td><strong>6%</strong></td></tr><tr><td>Crude Ash</td><td><strong>9%</strong></td></tr><tr><td>Moisture</td><td><strong>8%</strong></td></tr><tr><td>Calcium</td><td><strong>2%</strong></td></tr><tr><td>Phosphorus</td><td><strong>1%</strong></td></tr></tbody></table><h4>Added vitamins &amp; minerals</h4><table><tbody><tr><td>Omega-3</td><td><strong>0.2 mg/kg</strong></td></tr><tr><td>Omega-6</td><td><strong>0.4 mg/kg</strong></td></tr><tr><td>Vitamin A</td><td><strong>2,500 IU/kg</strong></td></tr><tr><td>Vitamin D</td><td><strong>1,000 IU/kg</strong></td></tr><tr><td>Vitamin E</td><td><strong>80 mg/kg</strong></td></tr><tr><td>Vitamin C</td><td><strong>120 mg/kg</strong></td></tr><tr><td>Taurine</td><td><strong>1,000 mg/kg</strong></td></tr></tbody></table><h4>Feeding guide</h4><p>Feed to your cat's weight and activity level, split across two meals, with fresh water always available. See the back of the pack for the exact daily gram chart.</p>","Prostar","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Adult food","Prostar, Adult food, Cat Food","TRUE","Size","15 kg","prostar-adult-chicken-15kg","15000","","0","deny","manual","4100","4800","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/prostar-adult-chicken.png","1","Prostar Adult — Chicken","active"
"prostar-kitten-chicken","Prostar Kitten — Chicken","<p>High-protein chicken nutrition for growing kittens in a value 15 kg bag — with prebiotics and yucca for easy digestion.</p><h4>Why cats love it</h4><ul><li>30% protein for growth</li><li>Real chicken + hydrolysed fish</li><li>Prebiotic, yucca &amp; oligosaccharides</li><li>Fish oil for omega-3 &amp; 6</li><li>Taurine for heart &amp; eyes</li></ul><h4>Ingredients</h4><p>Dried Chicken Meat (min. 5%), Rice, Corn, Wheat, Chicken Fat, Fish Oil, Brewer's Yeast, Hydrolyzed Fish Derivatives, Carob Flour, Vitamins and Minerals, Prebiotic, Yucca, Oligosaccharides.</p><h4>Guaranteed analysis</h4><table><tbody><tr><td>Crude Protein</td><td><strong>30%</strong></td></tr><tr><td>Crude Fat</td><td><strong>16%</strong></td></tr><tr><td>Crude Fibre</td><td><strong>3%</strong></td></tr><tr><td>Crude Ash</td><td><strong>6%</strong></td></tr><tr><td>Moisture</td><td><strong>8%</strong></td></tr><tr><td>Calcium</td><td><strong>2%</strong></td></tr><tr><td>Phosphorus</td><td><strong>1%</strong></td></tr></tbody></table><h4>Added vitamins &amp; minerals</h4><table><tbody><tr><td>Omega-3</td><td><strong>0.1 mg/kg</strong></td></tr><tr><td>Omega-6</td><td><strong>0.4 mg/kg</strong></td></tr><tr><td>Vitamin A</td><td><strong>15,000 IU/kg</strong></td></tr><tr><td>Vitamin D</td><td><strong>1,250 IU/kg</strong></td></tr><tr><td>Vitamin E</td><td><strong>100 mg/kg</strong></td></tr><tr><td>Vitamin C</td><td><strong>150 mg/kg</strong></td></tr><tr><td>Taurine</td><td><strong>1,200 mg/kg</strong></td></tr></tbody></table><h4>Feeding guide</h4><p>Feed kittens freely up to 12 months. Feed to your cat's weight and activity level, split across two meals, with fresh water always available. See the back of the pack for the exact daily gram chart.</p>","Prostar","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Kitten food","Prostar, Kitten food, Cat Food","TRUE","Size","15 kg","prostar-kitten-chicken-15kg","15000","","0","deny","manual","4100","4800","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/prostar-kitten-chicken.png","1","Prostar Kitten — Chicken","active"
"prostar-sterilised-salmon-ak","Prostar Sterilised — Salmon (Adult & Kitten)","<p>Salmon recipe for sterilised cats of any age — light on calories, big on flavour, and easy on the wallet.</p><h4>Why cats love it</h4><ul><li>For sterilised cats, any age</li><li>Real salmon flavour</li><li>Budget-friendly starter size</li></ul><h4>Feeding guide</h4><p>Feed to your cat's weight and activity level, split across two meals, with fresh water always available. See the back of the pack for the exact daily gram chart.</p>","Prostar","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Sterilised","Prostar, Sterilised, Cat Food","TRUE","Size","1.2 kg","prostar-sterilised-salmon-ak-12kg","1200","","0","deny","manual","370","440","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/prostar-sterilised-salmon-ak.png","1","Prostar Sterilised — Salmon (Adult & Kitten)","active"
"prostar-adult-sterilised-salmon","Prostar Adult Sterilised — Salmon","<p>A light salmon recipe for spayed and neutered adult cats — keeps weight in check without skimping on taste.</p><h4>Why cats love it</h4><ul><li>For sterilised adult cats</li><li>Real salmon flavour</li><li>Budget-friendly size</li></ul><h4>Feeding guide</h4><p>Feed to your cat's weight and activity level, split across two meals, with fresh water always available. See the back of the pack for the exact daily gram chart.</p>","Prostar","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Sterilised","Prostar, Sterilised, Cat Food","TRUE","Size","1.2 kg","prostar-adult-sterilised-salmon-12kg","1200","","0","deny","manual","370","440","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/prostar-adult-sterilised-salmon.png","1","Prostar Adult Sterilised — Salmon","active"
